['NIYDGDRWRLMUSU-UHFFFAOYSA-N', 'active', 1.0]
['ZXBGWQNZORWGBY-UHFFFAOYSA-N', 'active', 1.0]
['UQMZFRPWYMCTQP-UHFFFAOYSA-N', 'active', 1.0]
['LYWQMRPOKHKRRQ-UHFFFAOYSA-N', 'active', 1.0]
['AZPHXADRGUOSBS-UHFFFAOYSA-N', 'active', 1.0]
['SQIMAJMJNKZQHU-UHFFFAOYSA-N', 'active', 1.0]
['XWELOPIJORUUGI-UHFFFAOYSA-N', 'active', 1.0]
['NNOYAHPDGKEKLK-UHFFFAOYSA-N', 'active', 1.0]
['CITOGGGGQNHTNC-UHFFFAOYSA-N', 'active', 1.0]
['QGQWXVRHHJGWOY-UHFFFAOYSA-N', 'active', 1.0]
['OBPBGYYJOPHMFI-UHFFFAOYSA-N', 'active', 1.0]
['ADLKVRVDPBCVIA-UHFFFAOYSA-N', 'active', 1.0]
['FCXOTSMNOWNBQC-UHFFFAOYSA-N', 'active', 1.0]
['BJLYMSJMKYOBJG-UHFFFAOYSA-N', 'active', 1.0]
['DVPDSHWFWCSILJ-UHFFFAOYSA-N', 'active', 1.0]
['ODQZZROPKMDPDA-UHFFFAOYSA-N', 'active', 1.0]
['KSLLGOCHNBQQKR-UHFFFAOYSA-N', 'active', 1.0]
['ZIUOQDPNBFDEET-UHFFFAOYSA-N', 'active', 1.0]
['LHAKYGCRSJSYSW-UHFFFAOYSA-N', 'active', 1.0]
['IAKPZRMPTBCUCQ-UHFFFAOYSA-N', 'active', 1.0]
['LYTUPSCWZZSTLA-UHFFFAOYSA-N', 'active', 1.0]
['GUEXBIMYZHYPCB-UHFFFAOYSA-N', 'active', 1.0]
['RSJZEWVJKURCCL-UHFFFAOYSA-N', 'active', 1.0]
['LDOXZKYFYSFOSU-UHFFFAOYSA-N', 'active', 1.0]
['WPAVADFXCUSOKS-UHFFFAOYSA-N', 'active', 1.0]
['PLUDDIKUYYFLFP-UHFFFAOYSA-N', 'active', 1.0]
['VFRNDAKLIXXFBP-UHFFFAOYSA-N', 'active', 1.0]
['YPJVVQVPCSFMFR-UHFFFAOYSA-N', 'active', 1.0]
['BOIRIROCFCNLRO-UHFFFAOYSA-N', 'active', 1.0]
['FUSNQODFHNSNIK-UHFFFAOYSA-N', 'active', 1.0]
['QRXLZYCELOGVAP-UHFFFAOYSA-N', 'active', 1.0]
['URGARRXOPLIBRM-UHFFFAOYSA-N', 'active', 1.0]
['LDLXUZXDCZGSFP-UHFFFAOYSA-N', 'active', 1.0]
['VWDLGEGODKBJSF-UHFFFAOYSA-N', 'active', 1.0]
['GPVXSKBEYIWWAZ-UHFFFAOYSA-N', 'active', 1.0]
['MCRITNGWHKJMEO-UHFFFAOYSA-N', 'active', 1.0]
['ZAAIYMUKQCYAFP-UHFFFAOYSA-N', 'active', 1.0]
['JYVUIKGJORFUOI-UHFFFAOYSA-N', 'active', 1.0]
['IAMMRJGFSMZIKS-UHFFFAOYSA-N', 'active', 1.0]
['AYHBKPMIVNFMSQ-UHFFFAOYSA-N', 'active', 1.0]
['ZISWRNQYEFIODX-UHFFFAOYSA-N', 'active', 1.0]
['YNZSNBNPCKTORJ-UHFFFAOYSA-N', 'active', 1.0]
['QKZRXOJXOKGBGR-UHFFFAOYSA-N', 'active', 1.0]
['KMKCYSQGJYRNCA-UHFFFAOYSA-N', 'active', 1.0]
['JUFBMSFYUJSIMR-UHFFFAOYSA-N', 'active', 1.0]
['QBCHAKWGLHPFKX-UHFFFAOYSA-N', 'active', 1.0]
['AYBUXRCWUWAADE-UHFFFAOYSA-N', 'active', 1.0]
['XJKKRSRKVFOVNE-UHFFFAOYSA-N', 'active', 1.0]
['HIBNYOUKGUDXEO-UHFFFAOYSA-N', 'active', 1.0]
['ITQNSMXPOOYVOV-UHFFFAOYSA-N', 'active', 1.0]
['CCEGJRLFIODALJ-UHFFFAOYSA-N', 'active', 1.0]
['LREOROIMNMHYIR-UHFFFAOYSA-N', 'active', 1.0]
['MZGXZHQTGZODDP-UHFFFAOYSA-N', 'active', 1.0]
['SDEBQBVLRUGSHZ-UHFFFAOYSA-N', 'active', 1.0]
['GUFJQLODUJWLKA-UHFFFAOYSA-N', 'active', 1.0]
['QDYRJODMKVPROZ-UHFFFAOYSA-N', 'active', 1.0]
['JMKNJUVPRIWUPE-UHFFFAOYSA-N', 'active', 1.0]
['KPPIHPKPTQEFJE-UHFFFAOYSA-N', 'active', 1.0]
['RFOYQYGFYQBDNR-UHFFFAOYSA-N', 'active', 1.0]
['CZTCJKSYUPWCGF-UHFFFAOYSA-N', 'active', 1.0]
['ONMYAPBFXLOPIF-UHFFFAOYSA-N', 'active', 1.0]
['YSCMUUYJLDOPEL-UHFFFAOYSA-N', 'active', 1.0]
['FJAUZSLXLFZWLU-UHFFFAOYSA-N', 'active', 1.0]
['ROKJWFNFOKKLOW-UHFFFAOYSA-N', 'active', 1.0]
['MITFLFTWVZXPPF-UHFFFAOYSA-N', 'active', 1.0]
['QQJMUGAYLKGQDY-UHFFFAOYSA-N', 'active', 1.0]
['CSGCJYRNOBYAHN-UHFFFAOYSA-N', 'active', 1.0]
['CCICWUAHWQSFHJ-UHFFFAOYSA-N', 'active', 1.0]
['MJFWIQKYLLEFNU-UHFFFAOYSA-N', 'active', 1.0]
['BYLNRECSCMXKGA-UHFFFAOYSA-N', 'active', 1.0]
['FPKZEOVCLPUZDO-UHFFFAOYSA-N', 'active', 1.0]
['YBTFLZMYDPWTKC-UHFFFAOYSA-N', 'active', 1.0]
['OHGZNBMOOVLHFR-HWKANZROSA-N', 'active', 1.0]
['CUCCQODDQJYDHL-UHFFFAOYSA-N', 'active', 1.0]
['POJLWIIYPDNVPE-UHFFFAOYSA-N', 'active', 1.0]
['UJVVZEIDERNUNH-UHFFFAOYSA-N', 'active', 1.0]
['SJLWTBDKYQGYLP-UHFFFAOYSA-N', 'active', 1.0]
['RXAQHRQLIGQSEF-UHFFFAOYSA-N', 'active', 1.0]
['ANTGDNVDDIVKOM-UHFFFAOYSA-N', 'active', 1.0]
['SBGGEGBXNPOMAC-ZZXKWVIFSA-N', 'active', 1.0]
['VJCSJCNFHDFCJI-VMPITWQZSA-N', 'active', 1.0]
['RHVQWSMLJGXEQH-XBXARRHUSA-N', 'active', 1.0]
['YHFNFGDIARBZCQ-UHFFFAOYSA-N', 'active', 1.0]
['CHTKGXUYUUAKRS-UHFFFAOYSA-N', 'active', 1.0]
['YGMBNFOZZKXCBD-UHFFFAOYSA-N', 'active', 1.0]
['JZLZJINUCQAKJD-UHFFFAOYSA-N', 'active', 1.0]
['SBWQPQMZGUVVGK-UHFFFAOYSA-N', 'active', 1.0]
['WIJZKNLGZCMXJZ-PLBGURBNSA-N', 'active', 1.0]
['KXEPCIDRYLDWBE-UHFFFAOYSA-N', 'active', 1.0]
['GBMBJCPDNNMWGY-UHFFFAOYSA-N', 'active', 1.0]
