Gene_Name,logFC,AveExpr,t,P.Value,adj.P.Val,B
CAMKV,3.29592119957116,-3.44368254638617,3.61616730716204,0.00349154280669104,0.0175407020498691,-1.6187301859455
CCNYL2,3.07588359465677,-0.00854403086620061,3.61559875211812,0.003495202537672,0.017549112233516,-1.86174769491338
LSG1,0.76751630992526,6.28954240835965,3.61445088716738,0.00350260317245281,0.0175810174172848,-2.73676246171268
ASAP1,0.673695110931147,7.29967303108322,3.61420265560411,0.0035042057005792,0.0175838091365284,-2.73409363657155
LYRM7,0.598043528291099,5.07890719982754,3.61278504317971,0.00351337185361354,0.0176192820053642,-2.67298698355183
ZNF804A,6.13988839765865,-0.252792542764574,3.61210820235581,0.00351775687810011,0.017636009646919,-1.84346013997269
HRCT1,3.37851096430132,-2.08236665498544,3.60899483768753,0.00353799942304481,0.0177216334737014,-1.6950635788991
ZNF655,0.698037132203258,6.13138152023612,3.6067859064838,0.00355243360775533,0.0177833323736456,-2.74883241803816
C8ORF33,0.523141448526399,6.23936341073976,3.60528301852064,0.00356228853871672,0.0178273552391705,-2.75336304573619
RBMX,0.650782942400318,7.70722256338918,3.60244286065211,0.00358098868240198,0.0179068744036178,-2.75359516955043
GTF3C3,0.727188170224215,5.84778450190403,3.60229428836766,0.00358196966506945,0.0179068744036178,-2.74932930993967
OR2L1P,3.34391440540934,-3.42718555391331,3.60122337165652,0.003589048760221,0.0179292403137675,-1.64423295498131
PET117,0.772616850794744,3.9373185503539,3.59973984893517,0.00359887891655451,0.01796232853956,-2.49756083220211
C16ORF13,0.552008514587379,5.14945693653446,3.59548796494957,0.00362720542098438,0.0180661491107417,-2.71290082173828
UQCRFS1,0.559725653762266,6.93301659068589,3.59503584817339,0.00363023082824057,0.0180758604647653,-2.77226876892652
EIF3I,0.849626415814155,8.31989085333321,3.59326298399085,0.00364211909027838,0.0181296834455356,-2.76268405072724
KNOP1,0.614013976059391,5.66364414469163,3.59104289265022,0.00365706237460406,0.0181825246169294,-2.76190185757221
CTHRC1,4.21138681372904,5.12445669804722,3.59017771798164,0.00366290273874301,0.0182061758428205,-2.72027804789302
ABI2,0.382363873560135,6.51971750266343,3.58889531534912,0.00367157711941582,0.0182385023623361,-2.78576782902471
CHEK1,0.722687855629027,5.09236071128084,3.58816288543351,0.00367654079868349,0.0182523687213814,-2.72055521849216
CEBPZ,0.705093270400688,6.62774503984028,3.58669177114026,0.00368653124612899,0.0182891187470733,-2.78967095759949
TMEM39A,0.484814278691132,4.89556324558872,3.58659223100069,0.00368720823059115,0.0182891187470733,-2.69979585840448
TDO2,4.71978283546759,-2.36331251790182,3.58588656529772,0.00369201118716769,0.0183069379275111,-1.71807380939621
C17ORF89,0.839689454166584,5.16330515289169,3.58403373021534,0.00370465250963986,0.0183431601132875,-2.73570382918597
CDK5RAP1,0.545095435620345,5.15252827235398,3.58145217763126,0.00372233932802581,0.0184144575824179,-2.73945184293016
SHROOM3,3.09165074794967,2.41917459945848,3.58052420925631,0.00372871808808253,0.0184405848941221,-2.20899392992242
CHRAC1,0.93727449753862,4.97454786798377,3.57933320888743,0.0037369212500254,0.0184757168598638,-2.72329414370085
NOP2,0.957124516065811,6.51824250970578,3.57814967563364,0.00374509122268351,0.0185106641168224,-2.8058735981779
