GeneID,SRX3270441,SRX3270442,SRX3270443,SRR7947406,SRR7947407,SRR7947408
OR1A2,0,0,0,0,0,0
OR8I2,0,0,0,0,0,0
LCE1D,0,0,0,0,0,0
CCL11,0,0,0,0,0,0
FRMD3,907,749,1233,1877,1847,887
SNTB1,33,13,14,122,23,3
MTBP,829,408,531,564,757,524
TEFM,267,131,214,302,159,149
MRPL13,710,371,552,837,687,607
MALT1,1392,787,1306,1901,2024,1275
PRL,7,1,6,7887,102,230
ISG20,0,0,1,42,41,38
HMGN1P35,1,0,0,0,0,0
OR4C11,0,0,0,0,0,0
MBOAT1,97,37,75,362,476,370
OR8U1,0,0,0,0,0,0
ID4,2260,1134,1483,379,222,291
OR4X2,0,0,0,0,0,0
GPR22,0,2,4,4,5,9
CXCR6,0,1,0,7,0,0
CEBPB,7,3,9,147,261,75
AZU1,5,2,4,294,135,113
TPSAB1,0,0,0,0,0,0
ATOH1,3,1,4,0,0,0
PAIP1,2962,1746,2651,2500,1877,2101
CLEC7A,11,5,4,30,4,0
C5orf34,289,126,127,369,375,179
C1QTNF4,1,0,0,499,674,410
SERHL,4,5,2,0,6,0
NEGR1,348,235,398,1879,724,503
ZNF131,1400,732,1273,1210,877,1059
MACROD2,330,197,299,327,231,292
DPAGT1,622,332,545,902,881,661
BSG,1041,459,1071,23700,18335,17829
HINFP,624,365,732,1602,875,715
PRYP4,0,0,0,0,0,0
CDY1,0,0,0,0,0,0
OR10V1,0,0,0,0,0,0
CERS6,3414,2071,3382,3380,3846,3798
CSPG4P4Y,0,0,0,0,0,0
SPTLC3,3,6,9,63,5,0
GOLGA2P3Y,0,0,0,0,0,0
COPRS,666,310,552,1377,769,683
TP53RK,534,315,472,811,578,682
B3GALT1,546,319,562,123,285,332
OR5A1,0,1,1,0,0,0
CLEC12A,0,0,1,2,0,2
OR5A2,0,0,0,0,0,0
BPGM,798,446,861,477,433,464
POP7,140,75,137,950,741,790
ALG14,222,122,196,200,134,149
SUCLG2,626,201,392,223,255,158
CSPG4P3Y,0,0,0,0,0,0
STARD5,38,16,26,62,121,40
CSDC2,31,26,50,543,439,417
RCAN2,526,325,551,69,13,1
IL16,29,4,10,35,1,0
ABCG4,25,14,56,2888,1456,715
CDY1B,0,0,0,0,0,0
GNB2,307,180,378,5385,4195,3725
CFAP53,47,19,25,52,22,5
OR5B12,0,1,0,0,0,0
OR5B2,0,0,0,0,0,0
MCRIP2,15,6,10,227,250,166
PDZD3,2,1,5,3,10,2
C2CD2L,208,112,166,1286,1177,779
OR9I1,0,0,0,0,0,0
ARNT2,2109,1080,2099,2961,2835,2610
GNG12,428,197,307,190,67,26
PRSS27,22,13,15,291,280,263
MYOZ2,8,2,6,5,1,0
SYNPO2,426,263,594,32,8,5
DNAJB7,0,0,0,0,0,0
CLP1,308,170,318,396,314,415
INSL5,2,0,0,0,0,0
EFCAB3,0,0,0,0,0,0
TTC36,0,0,0,23,24,24
RSPH9,205,57,134,116,65,2
COPS9,153,65,162,765,521,663
GTPBP2,785,401,798,2491,2599,2262
FGGY,91,54,134,313,275,198
OR9G4,0,0,0,0,0,0
IL17D,123,53,102,260,182,217
OR5AR1,0,0,0,0,0,0
PRSS30P,7,0,11,2,0,0
FUT9,917,530,1131,756,1176,280
OR5AP2,0,0,0,0,0,0
TCEAL1,189,118,199,467,276,250
ZNF24,6073,3182,5608,3087,2720,2811
HSFY1,0,0,0,0,0,0
MANEA,992,515,706,465,625,570
RAB40A,39,17,33,49,60,47
C2orf54,0,0,0,0,0,1
AGXT,0,0,1,42,0,0
OR8J1,0,0,0,0,0,0
OR5T3,0,0,0,0,0,0
AFF1,2669,1525,2452,3009,4029,3152
ACOT12,0,1,6,3,0,4
FIBP,656,328,714,2675,1663,1831
CARNS1,1,1,1,4,14,1
OR10H5,0,0,0,0,0,0
BANP,139,61,130,594,312,398
PPP1CA,936,485,1064,3938,2861,3247
HCFC1,1290,661,1111,5402,7087,7331
FAM170B,0,0,0,0,0,0
CTSW,0,1,0,7,0,0
NIPAL4,1,0,0,8,10,12
MUCL1,0,0,0,1,0,0
SNTG2,25,2,16,17,62,48
FNDC9,5,4,16,32,20,3
PDE3A,904,484,694,64,3,1
RASGRP1,99,58,259,179,97,47
KLHL6,5,2,5,20,0,1
CHCHD1,424,219,418,710,552,547
MRPL52,395,173,432,736,736,696
SMPDL3A,183,104,181,290,166,220
RND1,79,35,51,43,33,32
RAD9A,122,63,117,1020,762,828
EFEMP2,114,41,113,2017,1385,1140
OR10AD1,0,0,0,0,0,0
AGAP5,5,4,6,12,15,5
WASHC2C,1672,883,1314,1540,954,936
TMEM134,96,47,82,387,253,222
ZMAT3,504,311,484,959,2223,1428
ZFAND4,542,383,500,186,240,124
THEMIS,4,0,0,1,0,0
MOS,0,0,0,0,0,0
ZNF738,2235,1255,1674,1698,1692,1632
MS4A10,0,0,0,0,0,0
SLFN11,13,5,10,2174,1453,499
FAM71D,13,1,5,3,4,5
CCL19,0,0,0,2,0,0
CORO1B,66,27,87,1022,863,930
FUT10,347,137,216,124,281,142
LRRC20,365,190,377,2045,3281,2463
