GeneID,logFC,AveExpr,t,P.Value,adj.P.Val,B
TICRR,-1.19673467532453,4.78710894065352,-4.4117750876212,0.00309269351890323,0.00667180189264492,-2.20633579955337
RPSAP9,-2.3136794650586,-0.969483055491011,-4.41217551161246,0.00309119111701089,0.00666937393298265,-1.42683960933775
AL159169.2,-1.91972584892121,1.5128345468718,-4.41286958875591,0.00308858882320537,0.00666457202899949,-1.72780552216531
CNIH1,-0.669408728352439,6.58529207392112,-4.41305397007999,0.0030878979303255,0.00666389388695932,-2.43573445568548
LINC01250,-3.13239146528312,-1.07307235029908,-4.41746694742633,0.00307141277769819,0.00663317193806807,-1.4095603001317
NEXN,-4.97661620777323,-0.948046548275531,-4.41811377474676,0.00306900463594523,0.00662969715865043,-1.42178437879746
ZNF738,-0.677299839388313,6.34029968755222,-4.4193969947442,0.00306423335041541,0.00662089936527662,-2.40453106979373
CNOT11,-0.630598652323051,5.64760264122782,-4.42080803374609,0.00305899623130669,0.00661200578020285,-2.32710992825274
DNAJB4,-0.90120132524119,4.54585002435153,-4.42082461217295,0.00305893475851077,0.00661200578020285,-2.15019554014778
A2M-AS1,-5.35446212632451,-1.60420451985298,-4.42215494762561,0.00305400630600385,0.00660364017822707,-1.35507009438725
CD200,-0.854451302003977,6.37765843445098,-4.42216247068955,0.00305397846041187,0.00660364017822707,-2.40438294149494
PWP1,-0.668992614504753,5.90072925875783,-4.42247883056191,0.00305280775060755,0.00660266230769466,-2.35515524798923
NOL8,-0.779058498241484,5.81091603729282,-4.42258545238563,0.00305241330110257,0.00660261625302065,-2.34471849986511
DDX5,-0.748916756029381,9.77579685205411,-4.42314496508932,0.00305034429260223,0.00659894753800024,-2.67723101335672
HSP90AB1,-0.397934917685644,10.4903209087862,-4.42403457291818,0.00304705781169774,0.00659264379067985,-2.73246455761302
NADK2,-0.993526560678103,5.3250764745206,-4.42409763037725,0.00304682500633592,0.00659264379067985,-2.27858231834106
AC110769.2,-2.26230285042547,-0.860458192690476,-4.42573781810477,0.00304077637959987,0.00658388365891337,-1.42182956880673
EPHB1,-4.36933597637878,3.07285617124665,-4.4276522536746,0.00303373310706809,0.00657263657593639,-1.8852407391949
AC125232.1,-1.549564949316,2.18408327210606,-4.42912710473883,0.00302831932961984,0.00656333687142251,-1.77545316694567
HNRNPH3,-0.433393974281543,9.08308988567052,-4.43000305327533,0.00302510899615586,0.00655798561357286,-2.61505387354897
TAC1,-5.6623386027455,0.43558002848876,-4.43119925007198,0.00302073101051213,0.00654929720622493,-1.58154926419183
SPEF2,-3.94283276169448,3.15141835286254,-4.43125386007176,0.00302053130881724,0.00654929720622493,-1.89201480472528
CNR1,-2.48392774221277,5.16077692139604,-4.43140054942204,0.00301999495683063,0.00654929720622493,-2.24385915623227
CLHC1,-1.01410327364629,3.7189831960331,-4.43148133225032,0.00301969962890235,0.00654929720622493,-1.98322112670379
LPAR6,-6.18498629878451,0.7749812627879,-4.43287656139864,0.00301460392891329,0.00653921808485862,-1.62259346982141
EYA1,-5.45578163260245,1.17987818836378,-4.4343517751898,0.00300922640255822,0.00652915413450216,-1.66597512961046
EFL1,-0.70902758155404,5.25568598320336,-4.43637559035385,0.00300186626357943,0.00651398352560393,-2.25193631247743
RPL15P2,-1.79047903378046,0.898201372229995,-4.43838167544964,0.00299459016359023,0.00650138384718596,-1.6299669985783
KLHL12,-0.565631371558768,5.94076216539649,-4.43942195498721,0.00299082470299338,0.00649480268713364,-2.33720110389003
NUCKS1,-0.566853540319734,9.45965360900365,-4.4404675685761,0.00298704518851232,0.00648739137910114,-2.62980585224431
AMZ2P1,-0.765750285139242,4.14286985730874,-4.44062390348417,0.00298648054656609,0.00648696130505037,-2.04811973337106
PBDC1,-0.829320780962182,4.17476353262883,-4.44068689575336,0.00298625306772617,0.00648696130505037,-2.05402392150295
PPFIA2,-1.66932716354486,5.64459745498085,-4.44165780338503,0.00298274932076228,0.00648203960716873,-2.29916859170233
AC240274.1,-1.35225265740025,4.47245559158751,-4.44304849534875,0.00297773856797689,0.00647194524281822,-2.10708246222004
GANC,-0.906860462987892,3.93612076738204,-4.4435135130015,0.00297606514811051,0.00646910279246529,-2.00613421089589
UPF2,-0.925719567817064,5.93951866831225,-4.44505783218175,0.00297051516353442,0.00645783208054773,-2.32961896319487
LMLN,-2.72951013442109,3.41063384577953,-4.44614358970033,0.00296661998539235,0.00645174213637318,-1.91245729411674
AL596202.1,-1.32603853272122,2.70037444517573,-4.44785216121901,0.00296050183491853,0.00643922796153024,-1.80943763862127
TMEM56-RWDD3,-1.93355607064541,0.268989007612623,-4.4479172562605,0.00296026901384885,0.00643922796153024,-1.53779808850483
TMEM169,-0.925234678953473,5.94451315068164,-4.44932934431272,0.00295522345344325,0.00642932789686769,-2.32453631516713
AC006480.2,-1.73084053173474,0.0226008834053579,-4.45030269936085,0.00295175105370558,0.00642256310185274,-1.50103377900951
RPL9P9,-1.57464980136594,7.37299500986443,-4.45064371520872,0.00295053555843864,0.00642070792903865,-2.45547232821945
CCDC144CP,-2.0483314424509,1.14591015050439,-4.45065365855517,0.00295050012527759,0.00642070792903865,-1.64148895021641
GTF2H2C,-1.35179233187637,2.63594463950706,-4.4510079462897,0.00294923792509931,0.00642025293389605,-1.79754845030843
ZSCAN20,-1.1366163677658,3.02912676513829,-4.45104002308335,0.00294912367634758,0.00642025293389605,-1.84859382224131
KBTBD2,-0.603227928988941,6.85682365556109,-4.45258456792013,0.00294362819510935,0.00641119612066283,-2.40791579244445
CPNE3,-0.604767266802764,6.43010870545008,-4.45440546016235,0.00293716395389661,0.00639869231719362,-2.3666839121993
SEZ6L,-2.79077617513519,5.90208540532868,-4.45469259027886,0.0029361460582925,0.0063972624498741,-2.31274475934897
OIP5-AS1,-0.557512719528455,8.21142854817172,-4.45607597541642,0.00293124730760349,0.00638894923142846,-2.51488708074287
NAE1,-0.794429057741915,6.39069516386008,-4.45647261455276,0.00292984441688635,0.00638667822007973,-2.3602484083681
HBG2,-6.22343260953756,-1.29019964490875,-4.45864782711846,0.00292216394804906,0.00637150571740974,-1.33814115927906
MDN1,-0.773678177773475,6.87464594668716,-4.45970683161833,0.00291843273331764,0.00636493883684487,-2.40009591430132
DISP1,-0.839233473559909,3.31239991561782,-4.45970768590913,0.00291842972549475,0.00636493883684487,-1.87930070662749
ESRRG,-2.25354606818454,5.54872427921456,-4.46014329888715,0.0029168964457507,0.00636315691173874,-2.26235653644254
COL21A1,-6.21339060987341,-0.8227777350426,-4.46043016766941,0.00291588720357919,0.00636173960297535,-1.3831298133153
APPL2,-0.907193186939675,5.93205663168953,-4.46475744367986,0.00290070985053978,0.00633331195649689,-2.30280646170653
MAGED1,-0.732543965602307,7.9444756859426,-4.46728194703632,0.00289189569617446,0.00631718548742109,-2.47952217183505
AC007878.1,-2.58235136718026,0.190068561498726,-4.46777302710768,0.0028901845495686,0.00631422711693626,-1.50184328039464
RNF165,-1.24197607673733,6.73948213430537,-4.46974830914089,0.00288331302584473,0.00630281232898737,-2.37473806544775
BTBD10,-0.81855496864059,5.62270402343885,-4.46992885548267,0.00288268584756854,0.00630251370157887,-2.25906926980791
ONECUT1,-1.77401512455242,3.47738686838174,-4.47008173192371,0.00288215490595711,0.00630213159985234,-1.89208206722159
