gene_symbol,logFC,AveExpr,t,P.Value,adj.P.Val,B
GBP1,0.669564389376625,4.5975174809439,12.2151424382532,7.06819882049586e-06,2.15070599026262e-05,3.46795942491477
CSTF3,0.524495378215576,5.20196243197346,12.2115590245386,7.08177492892992e-06,2.15453061554921e-05,3.40257751873712
CBX8,0.811009184511219,3.73887650243653,12.2101800938984,7.08700706702312e-06,2.15581597861705e-05,3.61929412101991
TMEM196,2.87349884545094,0.874351859266054,12.209429547056,7.08985675422011e-06,2.15634860948412e-05,4.04267626370527
SLC9A5,1.1058648311553,2.20158431109752,12.2077426023482,7.09626654397554e-06,2.15771264157847e-05,3.86777798895139
CH507-9B2.9,1.10033921450019,2.90260345485754,12.2020933639588,7.11777984104314e-06,2.16394661843532e-05,3.76579933396402
XXBAC-BPG181B23.6,2.0875858268867,0.209951167670743,12.199042880708,7.12942755841026e-06,2.16656450422625e-05,4.17129410628648
AHCTF1,0.576016980242935,6.80211004242147,12.1942512095597,7.14776762920125e-06,2.17152122878345e-05,3.40958633193206
IGLV2-18,4.52366940030686,-3.01814881851586,12.1883292034371,7.17050847443273e-06,2.17700036372105e-05,4.57411770481505
PIANP,1.09283108614543,1.66584469421491,12.1866673642362,7.17690485957586e-06,2.17851786568575e-05,3.92083503251336
CDK4PS,1.84953332312485,1.31934517618357,12.1552684873599,7.29899068622104e-06,2.21212542703468e-05,3.94472574155935
UNC5CL,0.937849888369402,2.3989060914721,12.1509984249418,7.31577598524456e-06,2.21627110279107e-05,3.80785111055586
KHDC1,0.885643615797269,4.05465540744503,12.1469780456188,7.33162006693295e-06,2.2207566415591e-05,3.51983889759549
DZANK1,1.20791253781919,3.3995965380512,12.1455611166062,7.33721343065114e-06,2.22213639530531e-05,3.64523261171958
CD52,2.39798571600726,1.25136795737809,12.1452442594356,7.33846489855266e-06,2.22220096524791e-05,3.94769886475951
TSNAXIP1,1.09172681631175,1.79434989799678,12.1443497030724,7.34199937795997e-06,2.22295675040992e-05,3.87970270602962
RP1-102G20.4,3.39294726227831,-0.730353087976215,12.143123052559,7.34684915216341e-06,2.22348151023407e-05,4.33836886769262
GABRR2,2.58662829785401,2.12249545938385,12.1372654725724,7.37005856733416e-06,2.22892982219377e-05,3.83513699728998
LARGE1,0.546867129287504,5.9056025047923,12.1359386861443,7.37532729073381e-06,2.23004267067413e-05,3.33941425129455
PRR20A,3.18924636097067,-1.86545051745094,12.1350275593861,7.37894790156249e-06,2.23004267067413e-05,4.49384790425431
PRR20B,3.18924636097067,-1.86545051745094,12.1350275593861,7.37894790156249e-06,2.23004267067413e-05,4.49384790425431
PRR20D,3.18924636097067,-1.86545051745094,12.1350275593861,7.37894790156249e-06,2.23004267067413e-05,4.49384790425431
PRR20E,3.18924636097067,-1.86545051745094,12.1350275593861,7.37894790156249e-06,2.23004267067413e-05,4.49384790425431
MUC3A,2.75911165261182,1.92808724445694,12.1341817918074,7.38231060501876e-06,2.23042904967838e-05,3.85724794081017
PUM2,0.586238479571137,7.68090762138456,12.1313056835043,7.39375886919788e-06,2.23293633149809e-05,3.45176555446063
AC007326.1,1.30905410969436,2.58913056168708,12.1310487990667,7.39478237520837e-06,2.23293633149809e-05,3.76956714910679
SAMHD1,0.505810013092209,6.03530206286952,12.1306030728434,7.39655866817182e-06,2.23315764106195e-05,3.33680044307503
CHRM4,5.47637889021554,0.84232968639825,12.1279380879149,7.40718923847426e-06,2.23605178097411e-05,3.99916962367067
LRRC10B,2.43404142691715,0.908074329906582,12.1211205472399,7.43446370461394e-06,2.24396878676988e-05,3.98398471842617
NFKBIL1,0.67210163108136,4.73690381866496,12.1203510516555,7.43754936333306e-06,2.24457204395248e-05,3.39089777861962
CSF2RA,0.715182184862051,3.00511078171494,12.1200991538379,7.43855978496235e-06,2.24457204395248e-05,3.69948920807931
GCNT1P1,2.19091642748757,-0.237356767548319,12.11885293457,7.44356096956428e-06,2.24576452539589e-05,4.22510989380054
EFHB,1.54234376312122,0.578474934424213,12.1181997110349,7.44618394403733e-06,2.24623925234998e-05,4.04240977655317
SAPCD2,1.33264218113599,3.95817930384623,12.1116552256161,7.47252117281451e-06,2.25259676988379e-05,3.51677477067808
ARHGAP22,0.954407967244037,3.16769475955614,12.1045651822297,7.50117393864297e-06,2.26059737832689e-05,3.66233957897512
LDLRAD3,0.468253090513222,5.64160060870183,12.102147130939,7.51097458399614e-06,2.26291369680841e-05,3.32075670015644
