"GeneID"	"AA.043_Thalassimia_D08.N3"	"AA.043_Thalassimia_D10.N1"	"AA.043_Thalassimia_D08.N1"	"AA.043_Thalassimia_D10.N3"	"AA.043_Thalassimia_D10.H4"	"AA.043_Thalassimia_D08.H4"
"CNKSR1"	5	4	15	4	14	10
"CATSPER4"	0	1	2	0	8	0
"LOC101928303"	0	1	5	0	3	0
"CEP85"	3436	5216	5759	4279	3195	3912
"SH3BGRL3"	515	1945	1205	2354	1016	477
"UBXN11"	185	222	418	111	152	208
"CD52"	8	9	23	16	40	30
"AIM1L"	1	1	0	0	9	1
"ZNF683"	0	0	1	0	3	0
"LIN28A"	4	6	2	1	15	5
"DHDDS"	887	1224	1775	845	729	1019
"LOC101928324"	106	50	68	18	75	81
"HMGN2"	9080	21926	22066	16187	9744	9384
"RPS6KA1"	6922	11081	16866	7735	4439	7756
"MIR1976"	1	2	5	2	0	4
"ARID1A"	5453	7006	10353	2980	4123	5608
"PIGV"	371	722	602	492	405	481
"ZDHHC18"	259	220	663	119	93	291
"SFN"	3	0	8	2	5	3
"GPN2"	505	793	1317	384	283	670
"GPATCH3"	632	1453	1742	785	560	730
"NR0B2"	5	1	7	1	4	4
"NUDC"	2824	3999	7768	2459	1404	3229
"KDF1"	3	5	7	3	3	2
"TRNP1"	1	6	7	2	3	1
"FAM46B"	4	11	16	9	7	8
"SLC9A1"	159	268	454	85	106	172
"WDTC1"	2883	8143	6426	4751	3674	3076
"TMEM222"	875	2131	3021	1240	756	966
"ACTG1P20"	405	292	482	142	210	418
"RNU6-48P"	0	0	0	0	0	0
"SYTL1"	30	27	84	13	19	41
"MAP3K6"	46	50	114	26	37	49
"FCN3"	1	1	2	0	2	0
"CD164L2"	0	2	1	0	3	1
"GPR3"	8	26	14	6	15	11
"WASF2"	4373	11119	9254	8034	8001	4901
"AHDC1"	111	231	249	77	216	144
"FGR"	23	17	16	4	44	47
"IFI6"	60	209	244	163	78	96
"FAM76A"	431	726	799	556	467	472
"STX12"	551	768	812	585	586	547
"PPP1R8"	3103	5193	7215	4026	2598	3683
"SCARNA1"	61	66	65	96	62	55
"THEMIS2"	2881	4083	8687	2069	1434	3734
"RPA2"	3425	5549	8546	4237	2246	4070
"SMPDL3B"	62	55	204	45	33	133
"XKR8"	78	80	334	35	20	83
"EYA3"	2292	2907	3599	2259	1905	2527
"PTAFR"	42	46	82	47	59	67
"DNAJC8"	5053	8922	11175	7872	3902	5652
"ATPIF1"	6435	10752	15515	8226	4298	7309
"SESN2"	752	4116	1655	3044	613	452
"MED18"	403	732	782	617	439	445
"PHACTR4"	1126	943	1903	551	639	1214
"SNHG3"	1992	1461	6441	1068	575	2142
"RCC1"	2996	3696	7627	2648	1619	3061
"SNORA73A"	5364	13161	12184	10801	4131	4763
"SNORA73B"	3721	8971	10418	6902	2535	3310
"TRNAU1AP"	1153	2275	2128	1849	1213	1326
"SNHG12"	478	740	1669	388	244	494
"SNORD99"	23	20	35	17	12	24
